NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,pre_prac_key.duration,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,training_intro_key.duration,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,intro_continue.duration,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,key_resp_end_prac.duration,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped,total_correct_AC,passed,participant
﻿,NA,NA,NA,395902,NA,NA,space,NA,68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,NA,NA,NA,3.235999999999997,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,2.200000000000003,NA,NA,NA,NA,8,TRUE,23
﻿,32.95319999998807,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,30.53769999998808,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,38.33629999998212,NA,NA,NA,60.97560975609215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.95279999998212,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,Male,38.33709999999404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,43.75679999998212,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
﻿,NA,NA,NA,395902,49.003099999994035,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,NA,0.21770000001788503,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,43.75779999998211,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,NA,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,NA,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,2025-07-15_18h25.29.750,NA,NA,289.0426999999881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.4742999999821,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,1.3974999999999795,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,[2.7340999999940436],NA,NA,NA,[],NA,NA,2.3845000000000027,NA,68768ef273683c40b578e0d2,NA,001,NA,0,NA,NA,NA,0,60.97560975609215,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,293.49189999997617,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_1_noST.png,NA,0.5,NA,[2.9168000000119605],NA,0,301.6076999999881,NA,[],NA,NA,2025-07-15_18h25.57.094,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,space,1,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,[2.3664000000059673],NA,NA,NA,[],NA,NA,1.267099999994059,NA,68768ef273683c40b578e0d2,NA,001,NA,1,NA,NA,NA,1,60.97560975609215,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,301.6121999999881,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_2_noST.png,NA,0.5,NA,[2.567300000011926],NA,1,308.2577999999821,NA,[],NA,NA,2025-07-15_18h25.57.094,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,space,2,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,[],NA,NA,NA,[2.4500000000000455],NA,NA,1.6863000000118973,NA,68768ef273683c40b578e0d2,NA,001,NA,2,NA,NA,NA,2,60.97560975609215,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,308.2640999999941,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,0.801425662,NA,NA,0,exp_resources/practice_feedback_trials/practice_3_ST.png,NA,0.5,NA,[],NA,2,315.19100000000003,NA,[2.233299999982137],NA,NA,2025-07-15_18h25.57.094,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,space,3,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,[4.366600000023823],NA,NA,NA,[],NA,NA,2.501400000005958,NA,68768ef273683c40b578e0d2,NA,001,NA,3,NA,NA,NA,3,60.97560975609215,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,315.1953999999762,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_4_ST.png,NA,0.5,NA,[4.5837000000178705],NA,3,325.07459999999406,NA,[],NA,NA,2025-07-15_18h25.57.094,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,space,4,NA,8,TRUE,23
﻿,NA,NA,NA,395902,NA,NA,NA,NA,68766fd199ac5101833eeb20,NA,0.5523000000119396,NA,NA,NA,NA,NA,NA,NA,68768ef273683c40b578e0d2,NA,001,326.65829999998215,NA,NA,NA,NA,NA,60.97560975609215,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.29.750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_JT,325.0761999999881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_18h25.57.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_JT,NA,NA,NA,NA,NA,NA,NA,8,TRUE,23
