NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,ready_spacebar_2.duration,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,pre_prac_key.duration,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,pre_quiz_key.duration,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,training_intro_key.duration,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,ready_spacebar.duration,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,intro_continue.duration,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,key_resp_end_prac.duration,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped,total_correct_AC,passed,participant
﻿,NA,NA,NA,664924,NA,NA,space,NA,684be77b0765d55495670a71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,NA,NA,NA,NA,NA,60.60606060606061,NA,NA,NA,NA,NA,NA,8.114700000047684,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,NA,NA,NA,NA,NA,NA,NA,NA,3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,7.071299999952316,NA,NA,NA,NA,8,TRUE,58
﻿,36.92989999997616,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,NA,NA,35.814,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,NA,41.363,NA,NA,NA,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.92960000002384,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,NA,NA,NA,NA,NA,60.60606060606061,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,NA,NA,NA,NA,NA,NA,Male,41.36339999997616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,46.96389999997616,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,8,TRUE,58
﻿,NA,NA,NA,664924,53.03,NA,NA,NA,684be77b0765d55495670a71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,NA,NA,NA,NA,NA,60.60606060606061,NA,NA,NA,NA,1.0305000000000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,46.96420000004768,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,NA,NA,NA,NA,NA,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,2025-07-15_10h09.00.157,NA,NA,293.0485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.41370000004764,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,NA,NA,3.3352999999523263,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,[],NA,NA,NA,[5.233100000023796],NA,NA,7.1347,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,0,NA,NA,NA,0,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,299.41749999999996,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,0.801425662,NA,NA,0,exp_resources/practice_feedback_trials/practice_1_noST.png,NA,0.5,NA,[],NA,0,314.41370000004764,NA,[4.850200000047664],NA,NA,2025-07-15_10h09.09.755,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,space,1,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,[5.433399999976132],NA,NA,NA,[],NA,NA,2.5663000000715215,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,1,NA,NA,NA,1,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,314.4168000000715,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_2_noST.png,NA,0.5,NA,[5.63339999997612],NA,1,325.4301000000238,NA,[],NA,NA,2025-07-15_10h09.09.755,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,space,2,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,[],NA,NA,NA,[3.999899999976151],NA,NA,5.466699999928494,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,2,NA,NA,NA,2,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,325.43399999999997,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,0.801425662,NA,NA,0,exp_resources/practice_feedback_trials/practice_3_ST.png,NA,0.5,NA,[],NA,2,337.7301000000238,NA,[3.8165999999046107],NA,NA,2025-07-15_10h09.09.755,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,space,3,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,[],NA,NA,NA,[2.3833000000715288],NA,NA,1.9839999999999804,NA,68761aad5bb0b4bca7f0b99d,NA,001,NA,3,NA,NA,NA,3,60.60606060606061,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,337.7321000000238,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,NA,NA,NA,0.801425662,NA,NA,0,exp_resources/practice_feedback_trials/practice_4_ST.png,NA,0.5,NA,[],NA,3,344.96349999999995,NA,[2.233399999976143],NA,NA,2025-07-15_10h09.09.755,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,space,4,NA,8,TRUE,58
﻿,NA,NA,NA,664924,NA,NA,NA,NA,684be77b0765d55495670a71,NA,NA,1.5023999999761486,NA,NA,NA,NA,NA,NA,NA,68761aad5bb0b4bca7f0b99d,NA,001,347.4976000000238,NA,NA,NA,NA,NA,60.60606060606061,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.00.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_ST,344.96389999997615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-15_10h09.09.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_ST,NA,NA,NA,NA,NA,NA,NA,8,TRUE,58
