NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,ready_spacebar_2.duration,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,pre_prac_key.duration,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,pre_quiz_key.duration,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,training_intro_key.duration,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,ready_spacebar.duration,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,intro_continue.duration,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,key_resp_end_prac.duration,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped,total_correct_AC,passed,participant
﻿,NA,NA,NA,238735,NA,NA,space,NA,68778cbf6e65e5664bf7e4f3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,NA,NA,NA,NA,NA,NA,58.82352941,NA,NA,NA,NA,NA,NA,4.974799999952317,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,NA,NA,NA,NA,NA,NA,NA,NA,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,3.9189000000953698,NA,NA,NA,NA,8,TRUE,35
﻿,51.491099999904634,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,NA,NA,50.325700000047675,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,NA,NA,58.90829999995232,NA,NA,NA,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.49079999995232,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,NA,NA,NA,NA,NA,NA,58.82352941,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,NA,NA,NA,NA,NA,NA,Male,58.90889999985694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,64.70920000004769,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,8,TRUE,35
﻿,NA,NA,NA,238735,71.52470000004769,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,NA,NA,NA,NA,NA,NA,58.82352941,NA,NA,NA,NA,1.790300000190726,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,64.70929999995231,NA,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,NA,NA,NA,NA,NA,NA,58.82352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,2025-07-16_13h41.41.135,NA,NA,311.5422999999523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.124,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,NA,NA,4.559299999952316,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,[4.217499999999973],NA,NA,NA,[],NA,NA,4.736700000047676,NA,68778fdf3675770b7dbdf999,NA,001,NA,0,NA,NA,NA,0,58.82352941,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,319.1267999999523,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_1_noST.png,NA,0.5,NA,[4.301199999809228],NA,0,331.09179999995234,NA,[],NA,NA,2025-07-16_13h41.58.095,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,space,1,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,[5.799499999999966],NA,NA,NA,[],NA,NA,3.518299999952319,NA,68778fdf3675770b7dbdf999,NA,001,NA,1,NA,NA,NA,1,58.82352941,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,"This image does not show signs of ST-elevation, as the ST-segment is not elevated above 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,331.09409999990464,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_2_noST.png,NA,0.5,NA,[5.883299999952328],NA,1,343.4245999999047,NA,[],NA,NA,2025-07-16_13h41.58.095,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,space,2,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,[5.949900000095397],NA,NA,NA,[],NA,NA,10.926599999904624,NA,68778fdf3675770b7dbdf999,NA,001,NA,2,NA,NA,NA,2,58.82352941,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,343.427,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,0.801425662,NA,NA,1,exp_resources/practice_feedback_trials/practice_3_ST.png,NA,0.5,NA,[6],NA,2,363.30709999990466,NA,[],NA,NA,2025-07-16_13h41.58.095,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,space,3,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,[],NA,NA,NA,[3.966600000143046],NA,NA,2.652499999999975,NA,68778fdf3675770b7dbdf999,NA,001,NA,3,NA,NA,NA,3,58.82352941,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,"This image does show signs of ST-elevation, because the ST-segment is elevated at the J-point by at least 0.1 mV.",Please look at the following ECG and decide if ST-elevation is present.,NA,NA,363.3092999999523,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,NA,NA,NA,0.801425662,NA,NA,0,exp_resources/practice_feedback_trials/practice_4_ST.png,NA,0.5,NA,[],NA,3,372.89089999985697,NA,[3.916200000047695],NA,NA,2025-07-16_13h41.58.095,NA,0,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,space,4,NA,8,TRUE,35
﻿,NA,NA,NA,238735,NA,NA,NA,NA,68778cbf6e65e5664bf7e4f3,NA,NA,3.6652999999523104,NA,NA,NA,NA,NA,NA,NA,68778fdf3675770b7dbdf999,NA,001,377.591,NA,NA,NA,NA,NA,58.82352941,NA,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.41.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024.2.4,Win32,ECG_X_EXP1_m1_STJ,372.8917000000477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-16_13h41.58.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECG_X_EXP1_m1_STJ,NA,NA,NA,NA,NA,NA,NA,8,TRUE,35
